PC1,PC2
-1323.868382965403,-8.331694754588543
-1259.8610688526064,-8.584156003572437
-1323.868382965403,-8.331694754588543
-1321.1826719476112,-7.384927837718777
-696.312416660935,-11.61135851978988
-1169.3292482797933,6.632509673620149
-1323.868382965403,-8.331694754588543
-1323.868382965403,-8.331694754588543
-1286.85590480871,-8.056225324038953
-585.970424804666,-20.76398375061811
-928.9048225770642,-14.057322806601368
-915.9030663181823,-1.3214108662616315
-1043.3047092402571,-7.8230465600207255
-1225.7893577846548,-5.253499992805112
-1255.8618338961464,-8.662367956095917
397.55680581739875,-18.015186531164478
-1323.868382965403,-8.331694754588543
-988.7311391437881,-2.8948553998619886
-1291.8549485042847,-7.9584603833846055
1657.0996206444509,-47.643940866302934
-1187.5908836661129,-4.002030459370119
-1323.8488295288869,-7.332832974953035
-1218.8493567284206,-8.386945759995367
-1308.8516970692388,-7.626059585159819
-1323.868382965403,-8.331694754588543
-1167.8200041989212,-7.386426693108113
-123.36908836717544,3.1641089187959945
-1247.824257309442,-6.821077488320755
-1260.8217704307215,-6.566863723190213
265.50480967879025,9.090165112223682
-1288.8555222869397,-8.017119347777214
-1245.8441928765026,-7.859025569115652
-1114.271576260333,-5.4359214993090195
-1140.0608622572718,-2.9331037360583787
-943.1869613300764,-2.786315540315953
762.9726844119939,1.8180646330340515
-935.8057166079183,-8.926144307006432
-1007.8114990016763,-8.517177638666602
-1260.763110358443,-3.57029037636745
-841.8041413989952,-9.765248111259577
2769.6421099052222,-42.42203688243905
-1301.8334822669397,-6.764058233786946
-1013.4872889948997,-0.4122174122176112
-1289.855330738087,-7.997550626666007
-1235.8265519528477,-7.055688426461957
-701.3267709824084,0.47765296736504403
-1101.256723160088,0.30500236796029334
-1243.8445760478924,-7.8981647712828895
-522.9926814644316,-14.001663085510337
-1323.868382965403,-8.331694754588543
-1323.868382965403,-8.331694754588543
-1058.5373427208856,-2.528926445070577
-1294.8543747216295,-7.899801418991996
-1163.8403228805553,-8.46351143837475
-1188.1690020769715,-7.98771551464391
-1323.868382965403,-8.331694754588543
-1323.868382965403,-8.331694754588543
-148.53979808068766,10.563441883180912
-1219.8296121270087,-7.368536236555874
-925.9255268843298,0.8730787934586708
-1154.8029370195259,-6.641746417116526
-923.0081652188287,-9.17644747007218
509.83688563059604,10.56280700304328
-617.2493121982612,-9.160580303573825
-1323.868382965403,-8.331694754588543
-437.2924519638178,4.383328933716333
5672.584254645444,-52.229616510091795
-1323.868382965403,-8.331694754588543
-421.7084899567477,-8.987742447838619
-1323.868382965403,-8.331694754588543
-1323.868382965403,-8.331694754588543
-1126.1568389731976,6.787432276814043
-1280.8570523740202,-8.173543252824173
-897.146444977218,-9.682174822469586
-1188.8550947469505,-8.97354589257523
-735.3542714668177,-4.85235093177486
1793.4295508431321,-23.79238118635457
-1247.8633636952593,-8.818776128162536
-1323.868382965403,-8.331694754588543
-1323.868382965403,-8.331694754588543
-1115.7908428260907,-6.405454920532668
-1053.861361241949,-10.6143217776268
-1284.2781687541096,-4.109635503034142
-948.7250164491386,-4.676507467207669
-1323.868382965403,-8.331694754588543
-1323.868382965403,-8.331694754588543
-1173.7797502515746,-5.271410088289848
-1185.8556685296057,-9.032204856967837
-986.315611197135,-8.937570634500595
-703.6016740288101,-2.4755899342601637
-1118.7485513567176,3.644835281577274
-1323.868382965403,-8.331694754588543
-1271.8587737219857,-8.349520146002
-674.507941393999,-9.041123776460541
-398.2036386034939,-0.45422932765240454
-1290.8551397651697,-7.978013371515475
242.42977540639822,-33.96707224943626
-1218.82980324391,-7.388081358196574
-1273.741070623224,-2.3172444975886384
-679.4982899299354,-5.944714065939504
1329.917354508986,-20.2611979651479
-655.5570072056798,1.4049201156554396
-908.8499872932382,-11.451786741637058
806.9981142577501,-12.033098118566198
-983.3952597302393,3.995497090058903
-1296.8539930855686,-7.860738735057284
-1108.7335217819118,-3.5457629820974734
-1161.6842780614484,-0.5117297417952109
-1209.8706319041278,-9.561804107911367
4160.225611809902,21.313914248272027
-1070.858109806903,-10.281920979402013
-1323.8097226558548,-5.33510941568202
-1323.868382965403,-8.331694754588543
-864.9476849530234,8.67375711411391
-184.66625944803764,-0.6333498668817494
-1005.8807490314884,-3.5587086425569296
-177.36322808871319,-10.76860561716601
-746.7832044115842,-9.625063354137943
-1228.7496771769622,-3.197120091304771
-1022.3282796307343,-9.23254706230838
-1080.817090421009,-8.088672783127457
-1188.3356368448876,-7.984455362678272
-806.340691997973,-3.464091724416921
-1282.8371162237556,-7.1355650082734705
-1030.8288677645721,-4.070090257731889
-1323.868382965403,-8.331694754588543
-85.61546548831416,-24.55383062141965
-1098.2688566300885,-3.7504018509814143
1011.957535905344,-0.05352512394701847
-1310.8317620262353,-6.58813730376679
-1101.8912880724447,-11.67352812824986
-1088.7475538549209,4.057354805834564
-1323.868382965403,-8.331694754588543
693.0102480200153,-42.77892557272759
-762.8416538300752,11.673121278602922
-1165.6341984226,-6.429927624010439
-1020.1033666686235,-6.2783071577615175
-1298.8340560495947,-6.8227171981795545
-1281.85686160035,-8.154015184122537
-216.70603946868323,-12.996923074424206
-1323.868382965403,-8.331694754588543
-1051.26407218385,-5.668893834705814
-960.742274395318,-5.440714302791197
-1323.868382965403,-8.331694754588543
-452.8394349346205,-15.373632803003115
-543.9784582834724,-21.585235485584818
-286.0278031341745,-26.629883686096854
-750.9193134820982,-16.538887669933793
-92.34259221088382,-5.436628637581123
-1007.066746055395,-4.534765437526445
-449.9274696326488,-6.4373910730672925
-1323.868382965403,-8.331694754588543
-1307.8127821435537,-5.647923119897804
-708.6340447551216,-2.3771790243475337
-1062.0120162146595,-5.458703873922827
-707.711990156648,-0.39673659433281294
-1323.868382965403,-8.331694754588543
-1206.293087179935,-5.634772772703302
-821.8674880670233,3.834274169565788
-414.2107858509471,7.852762043307523
-91.15438114992253,-9.456838734164874
-856.8599327632717,-12.468536880115716
-586.4125299637186,-0.7704522551119037
-1194.6779660610161,0.13353854162615697
-1260.8022169366113,-5.567998796937225
-1198.8140761863644,-6.780339841112927
-639.4703999893377,-11.723762188367251
-658.1519224124428,-2.365196288375728
-836.1683192606517,-2.8807561270496578
-886.4724724521291,-0.8977337779227579
-1268.8397943337877,-7.409329579357692
-1323.868382965403,-8.331694754588543
-835.1864859205227,10.090220101817325
-916.2116786776137,-4.313101225427605
-657.8784402291682,-15.360718989333556
-917.825831725818,4.711652028360495
-1160.5518374982576,-6.529328103989798
-1039.3598920066183,2.0922528192832672
-1323.868382965403,-8.331694754588543
-1323.868382965403,-8.331694754588543
-1063.781234968236,-6.423348930992699
166.49269170234038,-17.47977878860604
-396.21990550818055,-7.099178011143751
-477.23265472785,26.08595529727917
2407.4556575533406,25.628560483165487
705.6985472723034,10.027506241342786
1783.0739148415234,4.0477942579661885
-1323.8485600094282,-7.319314006479791
3135.1351642361324,-64.54506011869012
-952.7239815989486,-4.584761422109765
-1281.837037965182,-7.141599027931097
-969.1919265055,5.7297259893959325
2233.960740940851,19.029112697881693
1440.745635770648,7.468674279942741
1802.8064238158884,-54.476960333906106
-483.4270289815943,-3.6494919667152823
866.7605298403034,12.307045509966594
1575.633295946733,-7.866371231849895
-1280.7981221994514,-5.163420065846586
-821.1318624898936,-1.1649790421474862
-1190.3545384641498,-8.930704434341317
-907.0464956423301,-4.478815763385478
-588.906729400246,-4.7072991009279095
25.953784750744035,-17.144892016978392
-725.3653114770925,-14.029553157958624
-1070.9658655959227,-7.270733180788481
-592.8710494004168,-15.619291740951985
-959.8204101889544,-9.44221103423495
-758.3887101111859,-6.386851423924278
-1273.8581213927891,-8.296879468286678
-675.7965144039819,-10.999806334317428
-779.6984095541562,-4.970850222041924
-410.4654759102863,-5.197122022673471
-1163.8009464400693,-6.452266288445792
-131.04524066577278,2.328502883428719
-1125.6908938490146,-1.2021148438973608
-1308.8318739212855,-6.6136683483976135
-642.6871533843895,-5.004912099225826
-1300.7942977612943,-4.772400174315967
-1309.8121301023248,-5.595298175162822
-1059.3014302921192,-7.498852425165645
1198.5016364432079,-29.66854270485232
-1304.85219259332,-7.690752569210054
433.96991010661895,0.27186054388292824
-1221.2312883736588,-2.331370147121258
1012.9872897708863,-38.19686824104663
559.6236103200135,-27.166625777768957
-45.811543320514374,17.983750799932672
1017.6286757805653,-27.130504952837498
-1191.7369306780379,-2.908188834632801
923.9656540291742,-0.28409686751438024
-802.3462912152085,0.4682877632847102
-822.6068678087715,-4.131692092949669
277.142675585123,-8.652044502623479
-121.34335877048989,7.134984488831035
-845.8031067720033,-9.673513694045035
-343.51229366228904,-12.501978615470858
-104.50442554473875,26.7905502351664
-945.8239488738462,7.271219619491669
165.28237960261595,-19.454611756350317
2285.3223931936527,-50.92321086313139
-570.8948103792834,-17.04830848986714
-635.2464611788071,8.192056524585434
-512.7690296977399,-11.19036208291955
-886.5257598005621,-7.877885426435286
-259.5055119267038,18.036862255501127
1686.6759996315056,4.751103777286755
1420.1278563497629,-14.017948097578419
3863.9719395336288,-92.78812050450718
-1323.8485600094282,-7.319314006479791
-1266.800800631386,-5.4372017707655385
-1315.8500887235846,-7.475669699770487
203.4290691192375,-16.203650450136102
-1290.8353165212272,-6.965616890426384
1438.2599576849,-54.34231787599132
-478.9192323523048,19.12422870315477
-1135.767245474688,-5.004191248979919
-745.2908772842321,-3.645260657504365
-1323.8681134459443,-8.3181757861153
815.0758313403633,-19.75914535282321
-1207.4006011052002,-2.60186713381811
-926.3769925246686,12.886372920012414
3896.455382798519,-46.04374355754942
-1104.2052128579185,6.371671971014091
-1249.8040512868881,-5.769562697903548
235.7073459428816,-24.828862132359
-1087.315577609808,-7.948054147476991
-964.9962960408265,-1.3470396888747782
-1323.8681134459443,-8.3181757861153
-1024.151696898056,-0.1923109745642133
-694.3417986491999,24.33643537407091
-1248.304338104332,-5.79888746375646
-1170.8778212639495,-10.310837245766264
-1111.43461194193,2.346435503570442
2334.264568621342,-62.87205172642613
-161.51223867387762,-27.052985558461188
-766.7684110597913,11.763430732153301
-1282.8368465123183,-7.122035551146459
-1023.6310090517031,-1.6653671263252212
1757.9977463509333,-16.308362782847027
-1254.5335893867652,-4.677825623133411
235.14878109104097,-27.81567973476389
-921.8081245366669,-9.186356866570645
-1323.8681134459443,-8.3181757861153
2000.4942232208316,-39.357435695154464
2000.4363227626848,24.595331294329547
-1264.8207358677223,-6.475132802193491
-252.82211203364704,21.697212148016
-583.8532171238869,-14.796396584332914
-417.79310562101364,12.932569716248038
-1323.8681134459443,-8.3181757861153
-697.6521967317894,-2.4813444013242947
-994.7492252773866,0.04026095033584021
-544.5746921226827,8.417300743975959
-300.76537524085916,-3.3455249753675256
-1323.8681134459443,-8.3181757861153
-1096.3725166033878,-10.768664341335851
-567.3687938999674,-2.128600841263993
-450.92796911527125,-11.400519390602355
-1323.8485600094282,-7.319314006479791
-488.29634385318116,9.315159382410906
-1241.3252304985213,-6.93462802326893
-1310.8510450280098,-7.573434640424836
-1314.8502799844696,-7.495222687901356
-1316.8498974626996,-7.456116711639617
-1229.1710981290594,0.8216319236674554
-970.1077412739866,11.743116200698834
1988.545832821844,-45.119231110452645
-1248.8433495743886,-7.786847636249799
-1241.6687079207572,1.0660146418980911
247.85926470790923,-12.076334247874614
179.81845762506805,5.2422308533402955
1581.810355767839,-7.18748175949505
-1227.8669196814692,-9.196332655287026
419.87654312146424,-38.423048156561954
-1165.7810103282004,-5.414290141625592
70.93136397229159,10.369438199607332
197.89424034332524,-14.762087492884504
-1167.8197346794625,-7.372907724634869
-1082.9881767417028,-4.035708277334995
11.119630529631877,3.543027410658837
1816.9277841084274,3.2030562232632835
-1158.7627956520585,-4.552295682796516
-1141.8443117514316,-8.88232568308503
-1147.7113428699422,2.22628146991312
-1006.9078352159718,-1.5266089710972404
-1163.9422983532272,-3.4539282115968355
-1323.8681134459443,-8.3181757861153
-232.219375867503,27.287587154313933
-572.8757356609416,0.9768212181985696
381.39378400816895,25.2819365176245
3711.3021283286907,-31.84622615294476
-1046.1474383911625,0.240028606730327
-55.468581869844684,-25.129876971565942
60.822412134470596,12.5656241056169
-1271.8193968975431,-6.338254018787234
-647.6803064103176,7.4359821803427675
-1259.7630316569077,-3.576301166076714
-1323.8681134459443,-8.3181757861153
-997.293685238855,-7.710151981006008
367.25553082598344,-17.409075036961333
-1323.8681134459443,-8.3181757861153
-867.3381523129372,-11.253022370377359
-916.7308670676018,-5.288673190282394
431.3899617156367,1.3215544775389727
-427.44025103975616,0.12889680389703528
-1047.3529888127764,-1.7348823832134874
-694.009071247631,-4.650329801972521
-1129.7292354902124,-3.1216160499885257
-877.4154513217643,10.852329769328824
654.5717442637927,16.941738845158035
-583.5259123186465,6.18133020312421
678.1736803001686,-17.060455122898027
-1323.829006572912,-6.320452226844283
-1014.6139030351754,8.616530615498705
1467.2033750470785,-14.938584650832388
-1323.8681134459443,-8.3181757861153
-511.554132905434,-0.22242227658220592
-1157.6847735275637,-0.5764202871748392
-1244.805007648907,-5.867330785153965
1213.2929322982284,-8.973701169067375
-1096.9021816701193,-3.7635927119325556
-364.818922727138,-14.469017966265595
-1097.6766955290313,-0.7507270134942381
2200.40346592118,34.238106415908206
-1266.2617885708569,-3.449212736742365
-757.0289456743493,8.575228940062145
55.53363230178525,4.675094352081423
-1084.8356093329219,-8.99580573949706
