BounceRates,ExitRates,PageValues,Revenue,total_page_view,total_page_duration,Month_Numeric,Length,Recency,Frequency,StayingRate,Cluster
0.2,0.2,0.0,0,1,0.0,2,-1.178012705724326,1.673503636445396,-0.7269261302088017,-0.3178932694960384,2
0.0,0.1,0.0,0,2,64.0,2,-1.178012705724326,1.673503636445396,-0.7054786049790918,-0.3178932694960384,2
0.2,0.2,0.0,0,1,0.0,2,-1.178012705724326,1.673503636445396,-0.7269261302088017,-0.3178932694960384,2
0.05,0.14,0.0,0,2,2.666666667,2,-1.178012705724326,1.673503636445396,-0.7054786049790918,-0.3178932694960384,2
0.02,0.05,0.0,0,10,627.5,2,-1.178012705724326,1.673503636445396,-0.5338984031414121,-0.3178932694960384,2
0.015789474,0.024561404,0.0,0,19,154.2166667,2,-1.178012705724326,1.673503636445396,-0.3408706760740226,-0.3178932694960384,2
0.2,0.2,0.0,0,1,0.0,2,-1.178012705724326,1.673503636445396,-0.7269261302088017,-0.3178932694960384,2
0.2,0.2,0.0,0,1,0.0,2,-1.178012705724326,1.673503636445396,-0.7269261302088017,-0.3178932694960384,2
0.0,0.1,0.0,0,2,37.0,2,-1.178012705724326,1.673503636445396,-0.7054786049790918,-0.3178932694960384,2
0.0,0.022222222,0.0,0,3,738.0,2,-1.178012705724326,1.673503636445396,-0.6840310797493818,-0.3178932694960384,2
0.0,0.066666667,0.0,0,3,395.0,2,-1.178012705724326,1.673503636445396,-0.6840310797493818,-0.3178932694960384,2
0.01875,0.025833333,0.0,0,16,407.75,2,-1.178012705724326,1.673503636445396,-0.4052132517631524,-0.3178932694960384,2
0.0,0.028571429,0.0,0,7,280.5,2,-1.178012705724326,1.673503636445396,-0.598240978830542,-0.3178932694960384,2
0.0,0.066666667,0.0,0,6,98.0,2,-1.178012705724326,1.673503636445396,-0.6196885040602519,-0.3178932694960384,2
0.0,0.1,0.0,0,2,68.0,2,-1.178012705724326,1.673503636445396,-0.7054786049790918,-0.3178932694960384,2
0.008333333,0.016312636,0.0,0,25,1721.285119,2,-1.178012705724326,1.673503636445396,-0.2121855246957629,-0.3178932694960384,0
0.2,0.2,0.0,0,1,0.0,2,-1.178012705724326,1.673503636445396,-0.7269261302088017,-0.3178932694960384,2
0.0,0.007692308,0.0,0,13,334.9666667,2,-1.178012705724326,1.673503636445396,-0.4695558274522823,-0.3178932694960384,2
0.0,0.1,0.0,0,2,32.0,2,-1.178012705724326,1.673503636445396,-0.7054786049790918,-0.3178932694960384,2
0.0,0.01,0.0,0,20,2981.166667,2,-1.178012705724326,1.673503636445396,-0.3194231508443126,-0.3178932694960384,0
0.0,0.008333333,0.0,0,8,136.1666667,2,-1.178012705724326,1.673503636445396,-0.576793453600832,-0.3178932694960384,2
0.2,0.2,0.0,0,2,0.0,2,-1.178012705724326,1.673503636445396,-0.7054786049790918,-0.3178932694960384,2
0.0,0.033333333,0.0,0,3,105.0,2,-1.178012705724326,1.673503636445396,-0.6840310797493818,-0.3178932694960384,2
0.0,0.1,0.0,0,2,15.0,2,-1.178012705724326,1.673503636445396,-0.7054786049790918,-0.3178932694960384,2
0.2,0.2,0.0,0,1,0.0,2,-1.178012705724326,1.673503636445396,-0.7269261302088017,-0.3178932694960384,2
0.0,0.04,0.0,0,5,156.0,2,-1.178012705724326,1.673503636445396,-0.6411360292899618,-0.3178932694960384,2
0.002857143,0.00952381,0.0,0,36,1200.044444,2,-1.178012705724326,1.673503636445396,0.0237372528310465,-0.3178932694960384,2
0.05,0.1,0.0,0,4,76.0,2,-1.178012705724326,1.673503636445396,-0.6625835545196719,-0.3178932694960384,2
0.0,0.05,0.0,0,4,63.0,2,-1.178012705724326,1.673503636445396,-0.6625835545196719,-0.3178932694960384,2
0.043478261,0.050821256,54.17976426,0,47,1588.75,2,-1.178012705724326,1.673503636445396,0.2596600303578559,2.4755169110286834,0
0.0,0.1,0.0,0,2,35.0,2,-1.178012705724326,1.673503636445396,-0.7054786049790918,-0.3178932694960384,2
0.0,0.066666667,0.0,0,3,78.0,2,-1.178012705724326,1.673503636445396,-0.6840310797493818,-0.3178932694960384,2
0.0,0.025,0.0,0,8,209.5,2,-1.178012705724326,1.673503636445396,-0.576793453600832,-0.3178932694960384,2
0.04,0.08,0.0,0,10,183.6666667,2,-1.178012705724326,1.673503636445396,-0.5338984031414121,-0.3178932694960384,2
0.014285714,0.028571429,0.0,0,14,380.5,2,-1.178012705724326,1.673503636445396,-0.4481083022225723,-0.3178932694960384,2
0.015384615,0.020352564,0.0,0,52,2086.242857,2,-1.178012705724326,1.673503636445396,0.3668976565064057,-0.3178932694960384,0
