PC1,PC2,Churn,Cluster
-2.9614627221726977,3.398637511868223,1,0
-2.096939166316182,-0.25387111058699957,0,0
-2.9614627221726977,3.398637511868223,1,0
-2.096939166316182,-0.25387111058699957,0,0
-2.037750784296682,-0.32215283828613184,0,0
-1.971163854524745,-0.39896978194765564,0,0
-2.9614627221726977,3.398637511868223,1,0
-2.9614627221726977,3.398637511868223,1,0
-2.096939166316182,-0.25387111058699957,0,0
-2.0895406185637446,-0.2624063265493911,0,0
-2.0895406185637446,-0.2624063265493911,0,0
-1.9933594977820572,-0.373364134060481,0,0
-2.0599464275539945,-0.29654719039895727,0,0
-2.0673449753064324,-0.28801197443656573,0,0
-2.096939166316182,-0.25387111058699957,0,0
-1.9267725680101202,-0.4501810777220049,0,0
-2.9614627221726977,3.398637511868223,1,0
-2.01555514103937,-0.34775848617330646,0,0
-2.096939166316182,-0.25387111058699957,0,0
-1.9637653067723075,-0.4075049979100472,0,0
-2.052547879801557,-0.3050824063613488,0,0
-2.096939166316182,-0.25387111058699957,0,0
-2.0895406185637446,-0.2624063265493911,0,0
-2.096939166316182,-0.25387111058699957,0,0
-2.9614627221726977,3.398637511868223,1,0
-2.0747435230588698,-0.2794767584741742,0,0
-1.8453885427333077,-0.5440684533083117,0,0
-2.082142070811307,-0.27094154251178265,0,0
-2.082142070811307,-0.27094154251178265,0,0
-1.5631650117333056,-2.22340375491133,0,4
-2.096939166316182,-0.25387111058699957,0,0
-2.0895406185637446,-0.2624063265493911,0,0
-2.052547879801557,-0.3050824063613488,0,0
-2.037750784296682,-0.32215283828613184,0,0
-2.008156593286932,-0.35629370213569794,0,0
-1.727011778694308,-0.6806319087065762,0,0
-2.052547879801557,-0.3050824063613488,0,0
-2.0599464275539945,-0.29654719039895727,0,0
-2.0599464275539945,-0.29654719039895727,0,0
-2.0451493320491196,-0.3136176223237403,0,0
-1.7640045174564953,-0.6379558288946185,0,0
-2.0895406185637446,-0.2624063265493911,0,0
-2.0007580455344947,-0.3648289180980895,0,0
-2.096939166316182,-0.25387111058699957,0,0
-2.082142070811307,-0.27094154251178265,0,0
-1.9489682112674327,-0.4245754298348302,0,0
-2.008156593286932,-0.35629370213569794,0,0
-2.0895406185637446,-0.2624063265493911,0,0
-2.030352236544245,-0.3306880542485234,0,0
-2.9614627221726977,3.398637511868223,1,0
-2.9614627221726977,3.398637511868223,1,0
